%time,field.data
613010000000,-0.309502363205
613010000000,-0.306118011475
613010000000,-0.302531719208
613050000000,-0.299055814743
613050000000,-0.293627500534
613100000000,-0.288991212845
613100000000,-0.28565967083
613150000000,-0.280939102173
613150000000,-0.279120087624
613190000000,-0.275429010391
613190000000,-0.271321773529
613240000000,-0.266580820084
613240000000,-0.262795686722
613280000000,-0.260321497917
613290000000,-0.25416457653
613330000000,-0.249313354492
613380000000,-0.24488902092
613380000000,-0.238723397255
613420000000,-0.237664937973
613420000000,-0.233377337456
613460000000,-0.231732845306
613460000000,-0.227612018585
613510000000,-0.224447727203
613560000000,-0.220212101936
613560000000,-0.215617060661
613600000000,-0.209776639938
613610000000,-0.205671072006
613650000000,-0.201499819756
613690000000,-0.198247075081
613740000000,-0.19196999073
613740000000,-0.189479470253
613780000000,-0.184241652489
613790000000,-0.180011034012
613830000000,-0.175708770752
613870000000,-0.173162102699
613870000000,-0.168752670288
613920000000,-0.166551470757
613920000000,-0.162924647331
613960000000,-0.158713817596
613970000000,-0.15749001503
614010000000,-0.153424024582
614060000000,-0.150926232338
614060000000,-0.14774119854
614060000000,-0.144740462303
614100000000,-0.14255297184
614100000000,-0.138991236687
614120000000,-0.136220693588
614140000000,-0.134701967239
614180000000,-0.13126885891
614220000000,-0.126620769501
614270000000,-0.122711896896
614270000000,-0.118430137634
614310000000,-0.116016507149
614330000000,-0.112552762032
614370000000,-0.110030055046
614420000000,-0.108032464981
614420000000,-0.105980157852
614420000000,-0.104321122169
614460000000,-0.102058887482
614460000000,-0.0989818572998
614500000000,-0.0954197645187
614550000000,-0.0938690900803
614550000000,-0.0909111499786
614590000000,-0.0893607139587
614600000000,-0.088045835495
614640000000,-0.0852702856064
614690000000,-0.0829609632492
614690000000,-0.0812233686447
614690000000,-0.0794835090637
614730000000,-0.0780035257339
614730000000,-0.0758306980133
614750000000,-0.0749835968018
614780000000,-0.0712670087814
614820000000,-0.0684983730316
614860000000,-0.0659024715424
614860000000,-0.0650935173035
614910000000,-0.0633558034897
614910000000,-0.0613996982574
614950000000,-0.0603348016739
614950000000,-0.0568838119507
615000000000,-0.0540786981583
615000000000,-0.0536522865295
615050000000,-0.0512261390686
615050000000,-0.0525684356689
615050000000,-0.0507336854935
615090000000,-0.0495582818985
615090000000,-0.0466324090958
615100000000,-0.046461224556
615120000000,-0.0436342954636
615170000000,-0.0434823036194
615170000000,-0.0406558513641
615210000000,-0.0403584241867
615220000000,-0.0386345386505
615260000000,-0.0390117168427
615300000000,-0.0378029346466
615300000000,-0.0374464988708
615350000000,-0.0363389253616
615350000000,-0.0339053869247
615350000000,-0.0331833362579
615390000000,-0.0308395624161
615390000000,-0.027906537056
615400000000,-0.0277482271194
615420000000,-0.0265400409698
615460000000,-0.0251804590225
615510000000,-0.023255109787
615510000000,-0.022343993187
615510000000,-0.0221025943756
615550000000,-0.0200644731522
615550000000,-0.0198094844818
615560000000,-0.0178707838058
615580000000,-0.0157443284988
615630000000,-0.0148333311081
615630000000,-0.0136225223541
615670000000,-0.0139546394348
615670000000,-0.0132750272751
615710000000,-0.0126198530197
615720000000,-0.0115554332733
615760000000,-0.0106048583984
615760000000,-0.00926411151886
615800000000,-0.00960326194763
615850000000,-0.00803756713867
615850000000,-0.00642251968384
615890000000,-0.00474858283997
615910000000,-0.00346899032593
615950000000,-0.00318109989166
615990000000,-0.0027152299881
615990000000,-0.00102961063385
616040000000,-0.000709414482117
616040000000,-0.000405192375183
616080000000,-7.10487365723e-05
616080000000,-0.000373482704163
616130000000,0.00141155719757
616130000000,0.00298643112183
616170000000,0.00338035821915
616170000000,0.00461161136627
616220000000,0.00529474020004
616220000000,0.00602114200592
616260000000,0.00564575195312
616260000000,0.005539894104
616300000000,0.00597667694092
616300000000,0.00645053386688
616350000000,0.00724804401398
616350000000,0.00725263357162
616390000000,0.00741851329803
616400000000,0.00869941711426
616440000000,0.00974804162979
616480000000,0.0107412338257
616480000000,0.00997632741928
616530000000,0.00927263498306
616530000000,0.00984525680542
616570000000,0.0106758475304
616570000000,0.0113703608513
616620000000,0.0118207335472
616620000000,0.0133973360062
616620000000,0.0125433206558
616670000000,0.0127549171448
616680000000,0.0145815610886
616720000000,0.0144928097725
616760000000,0.0152224898338
616760000000,0.0144085288048
616800000000,0.0156067609787
616820000000,0.0158834457397
616860000000,0.0170122981071
616910000000,0.0168873667717
616910000000,0.0167157053947
616950000000,0.0170891284943
616950000000,0.0168979763985
617000000000,0.0169345140457
617000000000,0.0183082818985
617000000000,0.018050968647
617040000000,0.0185245275497
617040000000,0.018107175827
617060000000,0.0187221169472
617070000000,0.0190474390984
617120000000,0.0187386274338
617120000000,0.0193568468094
617160000000,0.0191341042519
617170000000,0.0182515978813
617210000000,0.0187406539917
617260000000,0.0196975469589
617260000000,0.0202460885048
617300000000,0.0206741094589
617300000000,0.0194377303123
617340000000,0.0187391638756
617340000000,0.0191964507103
617390000000,0.0193788409233
617390000000,0.0204558968544
617430000000,0.0200597047806
617470000000,0.0204078555107
617470000000,0.0203401446342
617470000000,0.0198549628258
617520000000,0.0192454457283
617520000000,0.0204655528069
617540000000,0.0187491178513
617550000000,0.0199736952782
617600000000,0.0195307731628
617600000000,0.0192031264305
617650000000,0.0195771455765
617650000000,0.0192751288414
617690000000,0.0197197198868
617700000000,0.0199408531189
617740000000,0.0207605361938
617740000000,0.0188735723495
617780000000,0.020027577877
617780000000,0.0187451243401
617830000000,0.0202946662903
617830000000,0.0198285579681
617870000000,0.0213183760643
617920000000,0.0202680230141
617920000000,0.0205900073051
617960000000,0.0202923417091
617960000000,0.0198695063591
618000000000,0.019518494606
618010000000,0.0202988386154
618050000000,0.0188394188881
618090000000,0.0189975500107
618090000000,0.019330739975
618140000000,0.0184840559959
618140000000,0.0189736485481
618180000000,0.0178971290588
618190000000,0.0180822610855
618230000000,0.0179518461227
618280000000,0.0181846618652
618280000000,0.0163799524307
618280000000,0.017097890377
618320000000,0.0177103877068
618330000000,0.0175006389618
618370000000,0.0160755515099
618410000000,0.0150856971741
618410000000,0.0150678753853
618460000000,0.0153433084488
618460000000,0.0155688524246
618500000000,0.0161209702492
618510000000,0.0158929228783
618550000000,0.0149409770966
618590000000,0.0151225328445
618590000000,0.0147228240967
618640000000,0.014188349247
618640000000,0.0150592327118
618640000000,0.0152052640915
618680000000,0.0154262185097
618680000000,0.0156570672989
618700000000,0.0146285295486
618730000000,0.0138395428658
618770000000,0.0140665173531
618820000000,0.0147407650948
618820000000,0.0150561928749
618860000000,0.0145807862282
618860000000,0.0140799283981
618910000000,0.0127077698708
618910000000,0.0128922462463
618950000000,0.0123527050018
619000000000,0.0130724906921
619000000000,0.0128712058067
619040000000,0.0122396945953
619040000000,0.0137852430344
619090000000,0.0122580528259
619090000000,0.0121149420738
619130000000,0.0130157470703
619130000000,0.00879371166229
619180000000,0.00806385278702
619180000000,0.00558930635452
619220000000,0.00685900449753
619220000000,0.00663566589355
619260000000,0.00861018896103
619260000000,0.00899350643158
619310000000,0.00862473249435
619310000000,0.00857174396515
619350000000,0.00877541303635
619350000000,0.00841391086578
619390000000,0.00909698009491
619400000000,0.00842291116714
619440000000,0.00822132825851
